trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
58,False,"{'a': 0.5, 'e': 0.31348618088260438}",25,18,9.337708035856021,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.30727873860113031}",30,8,-39.16453828377287,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.30119421191220119}",25,7,-9.745628109672174,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.29523016692401333}",20,4,13.050839801414796,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.28938421793904978}",25,0,-15.55368848389639,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.28365402649976951}",25,0,-34.67106786334042,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.27803730045319325}",25,0,-59.847716935670235,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.2725317930340117}",20,13,2.051392502646718,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.2671353019658495}",20,5,-3.348990566648207,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.26184566858032515}",30,14,-14.145072710903204,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.25666077695355505}",30,18,13.162161627469718,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.25157855305975568}",25,0,-23.994166495310086,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.24659696394160566}",25,11,-7.054305338252435,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.24171401689703562}",20,13,10.997977998072146,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.23692775868212093}",30,20,16.197132546401118,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.232236274729758}",20,4,-7.344359849579985,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.22763768838381193}",25,18,11.445467361192978,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.22313016014842901}",25,14,21.296455526080756,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.21871188695221394}",25,14,21.490727774666045,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.21438110142697714}",20,15,9.434822568616969,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.21013607120076391}",20,4,4.0813954231175265,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.20597509820488263}",20,10,11.38644141964997,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.20189651799465458}",20,8,17.62384758276642,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.19789869908361385}",20,13,4.537328961885249,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.19398004229089108}",20,10,5.375176739773675,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.19013898010151972}",25,10,11.264617825164748,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.18637397603940917}",20,12,3.5960154738889583,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.18268352405273386}",20,0,-8.235963938213176,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.17906614791149245}",20,12,14.005030891040386,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.17552040061699609}",20,0,14.749657002106902,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.17204486382304976}",25,0,-7.1915342004986815,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.16863814726859475}",20,0,16.370179201044046,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.16529888822158578}",25,12,10.302189331642248,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.16202575093388003}",20,0,25.976853345401988,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.15881742610691996}",20,6,0.014910460299339734,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.15567263036799658}",20,7,-11.164320452911067,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.15259010575688314}",30,16,18.285302782030165,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.14956861922263434}",30,16,14.836736088342597,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.14660696213034943}",25,14,18.85449169535036,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.14370394977770223}",25,15,18.07705615181066,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.14085842092104431}",20,6,25.564314215454772,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.13806923731089213}",25,16,-6.581198182640075,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.13533528323661201}",25,3,-14.985006644439556,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.13265546508012105}",20,0,33.746158700097375,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.13002871087842524}",20,12,12.804695312549125,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.12745396989482008}",25,16,17.315931288222927,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.12493021219858176}",25,20,9.85368148117876,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.12245642825298125}",30,19,16.833829919857894,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.12003162851145609}",20,10,21.863186921247074,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.11765484302177856}",30,14,8.001979346904724,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.11532512103806189}",25,14,-33.899017584612686,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
109,False,"{'a': 0.5, 'e': 0.11304153064044924}",25,15,9.784846807639175,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.11080315836233326}",30,14,25.542725388285774,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.10860910882495736}",25,16,17.48695234707941,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.10645850437925221}",20,10,17.200222697217843,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.10435048475476441}",30,16,21.362660286543708,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.10228420671553687}",25,20,10.209372793698462,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.10025884372280315}",25,7,21.44323213316528,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
